"SYMBOL","UNIPROT"
"PAX5","Q02548"
"PAX6","P26367"
"PAX8","Q06710"
"PBX2","P40425"
"PBX3","P40426"
"PDX1","O00330"
"PDX1","P52945"
"PGR","P06401"
"PKNOX1","P55347"
"POU2F1","P14859"
"POU2F2","P09086"
"POU4F2","Q12837"
"POU5F1","Q01860"
"PPARA","Q07869"
"PPARG","P37231"
"PRDM1","O75626"
"PRDM14","Q9GZV8"
"PROX1","Q92786"
"RARA","P10276"
"RBPJ","Q06330"
"RCOR1","Q9UKL0"
"REL","Q04864"
"RELA","Q04206"
"RELB","Q01201"
"REST","Q13127"
"RFX1","P22670"
"RFX2","P48378"
"RFX5","P48382"
"RFXANK","O14593"
"RFXAP","O00287"
"RUNX1","Q01196"
"RUNX2","Q13950"
"RUNX3","Q13761"
"RXRA","P19793"
"SIX2","Q9NPC8"
"SIX5","Q8N196"
"SMAD1","Q15797"
"SMAD2","Q15796"
"SMAD3","P84022"
"SMAD4","Q13485"
"SMAD5","Q99717"
"SMARCC2","Q8TAQ2"
"SNAI2","O43623"
"SNAPC4","Q5SXM2"
"SOX10","P56693"
"SOX11","P35716"
"SOX13","Q9UN79"
"SOX2","P48431"
"SOX6","P35712"
"SOX9","P48436"
"SP1","P08047"
"SP1","Q8N907"
"SP2","Q02086"
"SP3","Q02447"
"SP4","Q02446"
"SPI1","P17947"
"SPIB","Q01892"
"SREBF1","P36956"
"SREBF2","Q12772"
"SRF","P11831"
"SSRP1","Q08945"
"STAT1","P42224"
"STAT2","P52630"
"STAT3","P40763"
"STAT4","Q14765"
"STAT5A","P42229"
"STAT5B","P51692"
"STAT6","P42226"
"T","O15178"
"TAF1","P21675"
"TAL1","P17542"
"TBP","P20226"
"TBX21","Q9UL17"
"TCF12","Q99081"
"TCF25","Q9BQ70"
"TCF3","P15923"
"TCF3","Q9HCS4"
"TCF4","P15884"
"TCF7","P36402"
"TCF7L2","Q9NQB0"
"TEAD1","P28347"
"TEAD2","Q15562"
"TEAD4","Q15561"
"TFAP2A","P05549"
"TFAP2C","Q92754"
"TFAP4","Q01664"
"TFDP1","Q14186"
"TGIF2","Q9GZN2"
"THAP1","Q9NVV9"
"THAP11","Q96EK4"
"TP53","P04637"
"TP63","Q9H3D4"
"TP73","O15350"
"TWIST1","Q15672"
"UBTF","P17480"
"USF1","P22415"
"USF2","Q15853"
"VDR","P11473"
"WT1","P19544"
"XBP1","P17861"
"YY1","P25490"
"ZBED1","O96006"
"ZBTB11","O95625"
"ZBTB33","Q86T24"
"ZBTB7A","O95365"
"ZEB1","P37275"
"ZEB2","O60315"
"ZFX","P17010"
"ZKSCAN1","P17029"
"ZNF143","P52747"
"ZNF217","O75362"
"ZNF24","P17028"
"ZNF263","O14978"
"ZNF274","Q96GC6"
"ZNF384","Q8TF68"
"ZNF592","Q92610"
"ZNF639","Q9UID6"
"ZNF740","Q8NDX6"
