uniprot	genesymbol
O95786	DDX58
O95816	BAG2
O95817	BAG3
O95819	MAP4K4
O95831	AIFM1
O95835	LATS1
O95841	ANGPTL1
O95863	SNAI1
O95967	EFEMP2
O95983	MBD3
O95989	NUDT3
O95990	FAM107A
O95997	PTTG1
O95999	BCL10
O96013	PAK4
O96014	WNT11
O96017	CHEK2
O96019	ACTL6A
P00338	LDHA
P00367	GLUD1
P00450	CP
P00451	F8
P00519	ABL1
P00533	EGFR
P00734	F2
P00738	HP
P00747	PLG
P00749	PLAU
P00751	CFB
P01008	SERPINC1
P01009	SERPINA1
P01019	AGT
P01024	C3
P01031	C5
P01100	FOS
P01106	MYC
P01111	NRAS
P01112	HRAS
P01116	KRAS
P01127	PDGFB
P01130	LDLR
P01135	TGFA
P01137	TGFB1
P01344	IGF2
P01584	IL1B
P01588	EPO
P01730	CD4
P02452	COL1A1
P02462	COL4A1
P02489	CRYAA
P02511	CRYAB
P02545	LMNA
P02647	APOA1
P02649	APOE
P02671	FGA
P02679	FGG
P02686	MBP
P02741	CRP
P02751	FN1
P02763	ORM1
P02771	AFP
P02778	CXCL10
P02786	TFRC
P02787	TF
P02788	LTF
P02795	MT2A
P03372	ESR1
P03952	KLKB1
P04004	VTN
P04040	CAT
P04049	RAF1
P04070	PROC
P04075	ALDOA
P04083	ANXA1
P04085	PDGFA
P04114	APOB
P04150	NR3C1
P04156	PRNP
P04180	LCAT
P04183	TK1
P04216	THY1
P04233	CD74
P04275	VWF
P04406	GAPDH
P04626	ERBB2
P04632	CAPNS1
P04637	TP53
P04792	HSPB1
P04899	GNAI2
P05019	IGF1
P05067	APP
P05089	ARG1
P05106	ITGB3
P05107	ITGB2
P05114	HMGN1
P05121	SERPINE1
P05161	ISG15
P05186	ALPL
P05198	EIF2S1
P05204	HMGN2
P05231	IL6
P05305	EDN1
P05362	ICAM1
P05412	JUN
P05455	SSB
P05556	ITGB1
P05771	PRKCB
P05783	KRT18
P05787	KRT8
P06213	INSR
P06239	LCK
P06241	FYN
P06396	GSN
P06400	RB1
P06454	PTMA
P06493	CDK1
P06730	EIF4E
P06733	ENO1
P06737	PYGL
P06744	GPI
P06746	POLB
P06748	NPM1
P06756	ITGAV
P07108	DBI
P07203	GPX1
P07225	PROS1
P07327	ADH1A
P07332	FES
P07333	CSF1R
P07339	CTSD
P07355	ANXA2
P07384	CAPN1
P07437	TUBB
P07550	ADRB2
P07711	CTSL
P07737	PFN1
P07814	EPRS
P07858	CTSB
P07900	HSP90AA1
P07910	HNRNPC
P07942	LAMB1
P07947	YES1
P07948	LYN
P07992	ERCC1
P07996	THBS1
P08047	SP1
P08134	RHOC
P08138	NGFR
P08183	ABCB1
P08235	NR3C2
P08238	HSP90AB1
P08240	SRPRA
P08253	MMP2
P08263	GSTA1
P08294	SOD3
P08319	ADH4
P08473	MME
P08476	INHBA
P08559	PDHA1
P08567	PLEK
P08571	CD14
P08575	PTPRC
P08581	MET
P08603	CFH
P08631	HCK
P08637	FCGR3A
P08648	ITGA5
P08651	NFIC
P08670	VIM
P08754	GNAI3
P08758	ANXA5
P08833	IGFBP1
P08887	IL6R
P09038	FGF2
P09211	GSTP1
P09327	VIL1
P09341	CXCL1
P09429	HMGB1
P09455	RBP1
P09471	GNAO1
P09493	TPM1
P09496	CLTA
P09529	INHBB
P09601	HMOX1
P09603	CSF1
P09619	PDGFRB
P09651	HNRNPA1
P09668	CTSH
P09769	FGR
P09874	PARP1
P09884	POLA1
P09914	IFIT1
P09958	FURIN
P0C0S5	H2AFZ
P0C7U1	ASAH2B
P0CG48	UBC
P0DJI8	SAA1
P0DMV8	HSPA1A
P0DMV9	HSPA1B
P10114	RAP2A
P10144	GZMB
P10145	CXCL8
P10147	CCL3
P10153	RNASE2
P10243	MYBL1
P10275	AR
P10276	RARA
P10301	RRAS
P10398	ARAF
P10415	BCL2
P10451	SPP1
P10586	PTPRF
P10588	NR2F6
P10589	NR2F1
P10599	TXN
P10600	TGFB3
P10606	COX5B
P10620	MGST1
P10644	PRKAR1A
P10809	HSPD1
P10826	RARB
P10827	THRA
P10828	THRB
P10912	GHR
P10914	IRF1
P11021	HSPA5
P11137	MAP2
P11142	HSPA8
P11171	EPB41
P11215	ITGAM
P11230	CHRNB1
P11233	RALA
P11234	RALB
P11274	BCR
P11309	PIM1
P11362	FGFR1
P11387	TOP1
P11388	TOP2A
P11413	G6PD
P11717	IGF2R
P11802	CDK4
P11831	SRF
P11912	CD79A
P11926	ODC1
P11940	PABPC1
P12004	PCNA
P12270	TPR
P12318	FCGR2A
P12544	GZMA
P12643	BMP2
P12644	BMP4
P12694	BCKDHA
P12755	SKI
P12757	SKIL
P12814	ACTN1
P12821	ACE
P12830	CDH1
P12931	SRC
P12956	XRCC6
P13010	XRCC5
P13051	UNG
P13232	IL7
P13236	CCL4
P13500	CCL2
P13501	CCL5
P13611	VCAN
P13612	ITGA4
P13639	EEF2
P13688	CEACAM1
P13725	OSM
P13726	F3
P13796	LCP1
P13807	GYS1
P13861	PRKAR2A
P14174	MIF
P14210	HGF
P14314	PRKCSH
P14316	IRF2
P14317	HCLS1
P14598	NCF1
P14618	PKM
P14625	HSP90B1
P14635	CCNB1
P14649	MYL6B
P14778	IL1R1
P14780	MMP9
P14784	IL2RB
P14921	ETS1
P14923	JUP
P15018	LIF
P15056	BRAF
P15121	AKR1B1
P15151	PVR
P15153	RAC2
P15260	IFNGR1
P15289	ARSA
P15291	B4GALT1
P15311	EZR
P15336	ATF2
P15407	FOSL1
P15498	VAV1
P15502	ELN
P15509	CSF2RA
P15514	AREG
P15531	NME1
P15559	NQO1
P15692	VEGFA
P15884	TCF4
P15923	TCF3
P15924	DSP
P15927	RPA2
P16070	CD44
P16104	H2AFX
P16109	SELP
P16118	PFKFB1
P16220	CREB1
P16234	PDGFRA
P16298	PPP3CB
P16333	NCK1
P16471	PRLR
P16581	SELE
P16591	FER
P16662	UGT2B7
P16871	IL7R
P16885	PLCG2
P16949	STMN1
P17081	RHOQ
P17096	HMGA1
P17181	IFNAR1
P17252	PRKCA
P17275	JUNB
P17302	GJA1
P17405	SMPD1
P17480	UBTF
P17535	JUND
P17544	ATF7
P17612	PRKACA
P17655	CAPN2
P17676	CEBPB
P17706	PTPN2
P17812	CTPS1
P17813	ENG
P17844	DDX5
P17861	XBP1
P17931	LGALS3
P17936	IGFBP3
P17947	SPI1
P17948	FLT1
P18031	PTPN1
P18074	ERCC2
P18084	ITGB5
P18146	EGR1
P18206	VCL
P18428	LBP
P18433	PTPRA
P18510	IL1RN
P18583	SON
P18669	PGAM1
P18846	ATF1
P18847	ATF3
P18848	ATF4
P18850	ATF6
P18858	LIG1
P18887	XRCC1
P19022	CDH2
P19105	MYL12A
P19174	PLCG1
P19235	EPOR
P19338	NCL
P19367	HK1
P19419	ELK1
P19438	TNFRSF1A
P19447	ERCC3
P19474	TRIM21
P19484	TFEB
P19525	EIF2AK2
P19634	SLC9A1
P19784	CSNK2A2
P19793	RXRA
P19838	NFKB1
P19875	CXCL2
P19876	CXCL3
P19883	FST
P20020	ATP2B1
P20042	EIF2S2
P20138	CD33
P20226	TBP
P20333	TNFRSF1B
P20338	RAB4A
P20339	RAB5A
P20393	NR1D1
P20701	ITGAL
P20702	ITGAX
P20711	DDC
P20749	BCL3
P20807	CAPN3
P20810	CAST
P20815	CYP3A5
P20823	HNF1A
P20827	EFNA1
P20936	RASA1
P20963	CD247
P21127	CDK11B
P21333	FLNA
P21359	NF1
P21399	ACO1
P21453	S1PR1
P21462	FPR1
P21580	TNFAIP3
P21675	TAF1
P21709	EPHA1
P21730	C5AR1
P21731	TBXA2R
P21741	MDK
P21757	MSR1
P21796	VDAC1
P21802	FGFR2
P21854	CD72
P21860	ERBB3
P21912	SDHB
P21980	TGM2
P22307	SCP2
P22314	UBA1
P22413	ENPP1
P22415	USF1
P22455	FGFR4
P22570	FDXR
P22607	FGFR3
P22670	RFX1
P22681	CBL
P22692	IGFBP4
P22694	PRKACB
P22736	NR4A1
P23025	XPA
P23193	TCEA1
P23229	ITGA6
P23246	SFPQ
P23258	TUBG1
P23396	RPS3
P23443	RPS6KB1
P23458	JAK1
P23467	PTPRB
P23468	PTPRD
P23469	PTPRE
P23470	PTPRG
P23511	NFYA
P23528	CFL1
P23588	EIF4B
P23743	DGKA
P23763	VAMP1
P24385	CCND1
P24390	KDELR1
P24394	IL4R
P24468	NR2F2
P24522	GADD45A
P24530	EDNRB
P24666	ACP1
P24723	PRKCH
P24821	TNC
P24844	MYL9
P24863	CCNC
P24928	POLR2A
P24941	CDK2
P25025	CXCR2
P25054	APC
P25090	FPR2
P25101	EDNRA
P25105	PTAFR
P25106	ACKR3
P25116	F2R
P25205	MCM3
P25208	NFYB
P25445	FAS
P25490	YY1
P25685	DNAJB1
P25774	CTSS
P25940	COL5A3
P25942	CD40
P25963	NFKBIA
P26010	ITGB7
P26038	MSN
P26045	PTPN3
P26358	DNMT1
P26583	HMGB2
P26599	PTBP1
P26651	ZFP36
P26927	MST1
P26992	CNTFR
P27037	ACVR2A
P27348	YWHAQ
P27361	MAPK3
P27448	MARK3
P27487	DPP4
P27540	ARNT
P27635	RPL10
P27694	RPA1
P27695	APEX1
P27701	CD82
P27708	CAD
P27816	MAP4
P27930	IL1R2
P27986	PIK3R1
P28324	ELK4
P28347	TEAD1
P28370	SMARCA1
P28482	MAPK1
P28562	DUSP1
P28702	RXRB
P28715	ERCC5
P28799	GRN
P28827	PTPRM
P29033	GJB2
P29279	CTGF
P29317	EPHA2
P29320	EPHA3
P29350	PTPN6
P29353	SHC1
P29372	MPG
P29374	ARID4A
P29376	LTK
P29466	CASP1
P29474	NOS3
P29590	PML
P29597	TYK2
P29692	EEF1D
P29966	MARCKS
P29972	AQP1
P29992	GNA11
P30041	PRDX6
P30047	GCHFR
P30086	PEBP1
P30153	PPP2R1A
P30154	PPP2R1B
P30260	CDC27
P30279	CCND2
P30281	CCND3
P30291	WEE1
P30305	CDC25B
P30519	HMOX2
P30530	AXL
P30556	AGTR1
P30622	CLIP1
P30793	GCH1
P30872	SSTR1
P31146	CORO1A
P31323	PRKAR2B
P31350	RRM2
P31431	SDC4
P31483	TIA1
P31749	AKT1
P31751	AKT2
P31785	IL2RG
P31946	YWHAB
P31994	FCGR2B
P32121	ARRB2
P32246	CCR1
P32519	ELF1
P32927	CSF2RB
P33076	CIITA
P33151	CDH5
P33176	KIF5B
P33240	CSTF2
P33241	LSP1
P33552	CKS2
P33991	MCM4
P34741	SDC2
P34925	RYK
P34947	GRK5
P35052	GPC1
P35221	CTNNA1
P35222	CTNNB1
P35226	BMI1
P35227	PCGF2
P35240	NF2
P35241	RDX
P35318	ADM
P35348	ADRA1A
P35354	PTGS2
P35398	RORA
P35442	THBS2
P35520	CBS
P35555	FBN1
P35568	IRS1
P35575	G6PC
P35579	MYH9
P35580	MYH10
P35590	TIE1
P35611	ADD1
P35637	FUS
P35638	DDIT3
P35658	NUP214
P35659	DEK
P35680	HNF1B
P35754	GLRX
P35813	PPM1A
P35916	FLT4
P35968	KDR
P36402	TCF7
P36507	MAP2K2
P36508	ZNF76
P36871	PGM1
P36873	PPP1CC
P36894	BMPR1A
P36896	ACVR1B
P36897	TGFBR1
P36941	LTBR
P36956	SREBF1
P37023	ACVRL1
P37088	SCNN1A
P37173	TGFBR2
P37231	PPARG
P37275	ZEB1
P37840	SNCA
P38398	BRCA1
P38432	COIL
P38484	IFNGR2
P38936	CDKN1A
P39019	RPS19
P39060	COL18A1
P39687	ANP32A
P39748	FEN1
P39880	CUX1
P40189	IL6ST
P40259	CD79B
P40337	VHL
P40429	RPL13A
P40692	MLH1
P40763	STAT3
P40933	IL15
P41091	EIF2S3
P41134	ID1
P41161	ETV5
P41182	BCL6
P41208	CETN2
P41212	ETV6
P41220	RGS2
P41221	WNT5A
P41227	NAA10
P41235	HNF4A
P41236	PPP1R2
P41240	CSK
P41279	MAP3K8
P41597	CCR2
P41743	PRKCI
P41970	ELK3
P42224	STAT1
P42226	STAT6
P42229	STAT5A
P42336	PIK3CA
P42338	PIK3CB
P42345	MTOR
P42566	EPS15
P42574	CASP3
P42575	CASP2
P42680	TEC
P42684	ABL2
P42701	IL12RB1
P42702	LIFR
P42765	ACAA2
P42768	WAS
P42773	CDKN2C
P42858	HTT
P42892	ECE1
P43034	PAFAH1B1
P43116	PTGER2
P43235	CTSK
P43246	MSH2
P43250	GRK6
P43351	RAD52
P43354	NR4A2
P43378	PTPN9
P43405	SYK
P43657	LPAR6
P45880	VDAC2
P45973	CBX5
P45983	MAPK8
P45984	MAPK9
P45985	MAP2K4
P46060	RANGAP1
P46108	CRK
P46109	CRKL
P46459	NSF
P46527	CDKN1B
P46531	NOTCH1
P46734	MAP2K3
P46736	BRCC3
P46821	MAP1B
P46934	NEDD4
P46937	YAP1
P46939	UTRN
P46940	IQGAP1
P47712	PLA2G4A
P47736	RAP1GAP
P47756	CAPZB
P47871	GCGR
P48061	CXCL12
P48065	SLC6A12
P48200	IREB2
P48357	LEPR
P48382	RFX5
P48426	PIP4K2A
P48436	SOX9
P48454	PPP3CC
P48506	GCLC
P48507	GCLM
P48509	CD151
P48549	KCNJ3
P48551	IFNAR2
P48552	NRIP1
P48651	PTDSS1
P48729	CSNK1A1
P48730	CSNK1D
P48735	IDH2
P49023	PXN
P49116	NR2C2
P49137	MAPKAPK2
P49238	CX3CR1
P49336	CDK8
P49354	FNTA
P49356	FNTB
P49407	ARRB1
P49427	CDC34
P49459	UBE2A
P49585	PCYT1A
P49593	PPM1F
P49662	CASP4
P49674	CSNK1E
P49711	CTCF
P49715	CEBPA
P49736	MCM2
P49755	TMED10
P49757	NUMB
P49759	CLK1
P49760	CLK2
P49765	VEGFB
P49767	VEGFC
P49768	PSEN1
P49770	EIF2B2
P49789	FHIT
P49790	NUP153
P49792	RANBP2
P49795	RGS19
P49798	RGS4
P49810	PSEN2
P49815	TSC2
P49840	GSK3A
P49841	GSK3B
P49913	CAMP
P49915	GMPS
P49916	LIG3
P49917	LIG4
P49961	ENTPD1
P50148	GNAQ
P50281	MMP14
P50402	EMD
P50453	SERPINB9
P50458	LHX2
P50539	MXI1
P50548	ERF
P50549	ETV1
P50552	VASP
P50553	ASCL1
P50570	DNM2
P50591	TNFSF10
P50613	CDK7
P50616	TOB1
P50750	CDK9
P51003	PAPOLA
P51149	RAB7A
P51397	DAP
P51398	DAP3
P51449	RORC
P51452	DUSP3
P51531	SMARCA2
P51532	SMARCA4
P51572	BCAP31
P51610	HCFC1
P51617	IRAK1
P51636	CAV2
P51654	GPC3
P51668	UBE2D1
P51681	CCR5
P51692	STAT5B
P51812	RPS6KA3
P51828	ADCY7
P51946	CCNH
P51959	CCNG1
P52179	MYOM1
P52272	HNRNPM
P52292	KPNA2
P52306	RAP1GDS1
P52564	MAP2K6
P52565	ARHGDIA
P52566	ARHGDIB
P52630	STAT2
P52655	GTF2A1
P52657	GTF2A2
P52735	VAV2
P52757	CHN2
P52788	SMS
P52798	EFNA4
P52799	EFNB2
P52907	CAPZA1
P52948	NUP98
P53004	BLVRA
P53007	SLC25A1
P53041	PPP5C
P53355	DAPK1
P53539	FOSB
P53667	LIMK1
P53671	LIMK2
P53675	CLTCL1
P53794	SLC5A3
P53804	TTC3
P53805	RCAN1
P54198	HIRA
P54253	ATXN1
P54259	ATN1
P54274	TERF1
P54278	PMS2
P54619	PRKAG1
P54652	HSPA2
P54760	EPHB4
P54826	GAS1
P55010	EIF5
P55011	SLC12A2
P55055	NR1H2
P55072	VCP
P55085	F2RL1
P55103	INHBC
P55157	MTTP
P55199	ELL
P55210	CASP7
P55211	CASP9
P55212	CASP6
P55273	CDKN2D
P55317	FOXA1
P55773	CCL23
P55854	SUMO3
P55957	BID
P56159	GFRA1
P56192	MARS
P56270	MAZ
P56645	PER3
P56817	BACE1
P56945	BCAR1
P57059	SIK1
P57723	PCBP4
P58166	INHBE
P58340	MLF1
P58753	TIRAP
P58876	HIST1H2BD
P59768	GNG2
P60174	TPI1
P60484	PTEN
P60510	PPP4C
P60520	GABARAPL2
P60709	ACTB
P60763	RAC3
P60842	EIF4A1
P60953	CDC42
P60981	DSTN
P61006	RAB8A
P61011	SRP54
P61024	CKS1B
P61073	CXCR4
P61077	UBE2D3
P61081	UBE2M
P61088	UBE2N
P61160	ACTR2
P61224	RAP1B
P61244	MAX
P61289	PSME3
P61457	PCBD1
P61586	RHOA
P61587	RND3
P61626	LYZ
P61764	STXBP1
P61956	SUMO2
P61968	LMO4
P61978	HNRNPK
P61981	YWHAG
P62136	PPP1CA
P62140	PPP1CB
P62258	YWHAE
P62491	RAB11A
P62633	CNBP
P62714	PPP2CB
P62736	ACTA2
P62745	RHOB
P62753	RPS6
P62826	RAN
P62834	RAP1A
P62837	UBE2D2
P62873	GNB1
P62875	POLR2L
P62877	RBX1
P62879	GNB2
P62913	RPL11
P62937	PPIA
P62942	FKBP1A
P62993	GRB2
P63000	RAC1
P63010	AP2B1
P63092	GNAS
P63096	GNAI1
P63104	YWHAZ
P63146	UBE2B
P63151	PPP2R2A
P63165	SUMO1
P63167	DYNLL1
P63208	SKP1
P63244	RACK1
P63261	ACTG1
P63279	UBE2I
P67775	PPP2CA
P67809	YBX1
P67870	CSNK2B
P68104	EEF1A1
P68363	TUBA1B
P68366	TUBA4A
P68371	TUBB4B
P68400	CSNK2A1
P68871	HBB
P69905	HBA1;
P78314	SH3BP2
P78317	RNF4
P78324	SIRPA
P78344	EIF4G2
P78347	GTF2I
P78352	DLG4
P78356	PIP4K2B
P78362	SRPK2
P78368	CSNK1G2
P78371	CCT2
P78380	OLR1
P78423	CX3CL1
P78504	JAG1
P78509	RELN
P78527	PRKDC
P78536	ADAM17
P78543	BTG2
P78545	ELF3
P78552	IL13RA1
P78560	CRADD
P80075	CCL8
P80162	CXCL6
P83916	CBX1
P84022	SMAD3
P84103	SRSF3
P84243	H3F3A
P84996	GNAS
P98077	SHC2
P98082	DAB2
P98160	HSPG2
P98170	XIAP
P98172	EFNB1
P98177	FOXO4
P98194	ATP2C1
P99999	CYCS
Q00059	TFAM
Q00266	MAT1A
Q00403	GTF2B
Q00526	CDK3
Q00534	CDK6
Q00535	CDK5
Q00536	CDK16
Q00597	FANCC
Q00610	CLTC
Q00613	HSF1
Q00653	NFKB2
Q00722	PLCB2
Q00839	HNRNPU
Q00978	IRF9
Q00987	MDM2
Q01082	SPTBN1
Q01085	TIAL1
Q01105	SET
Q01130	SRSF2
Q01167	FOXK2
Q01196	RUNX1
Q01201	RELB
Q01543	FLI1
Q01664	TFAP4
Q01826	SATB1
Q01831	XPC
Q01844	EWSR1
Q01970	PLCB3
Q02045	MYL5
Q02078	MEF2A
Q02086	SP2
Q02156	PRKCE
Q02297	NRG1
Q02363	ID2
Q02447	SP3
Q02535	ID3
Q02556	IRF8
Q02750	MAP2K1
Q02763	TEK
Q02790	FKBP4
Q03060	CREM
Q03113	GNA12
Q03135	CAV1
Q03164	KMT2A
Q03167	TGFBR3
Q03181	PPARD
Q03393	PTS
Q03405	PLAUR
Q03431	PTH1R
Q03468	ERCC6
Q03518	TAP1
Q03933	HSF2
Q04206	RELA
Q04637	EIF4G1
Q04721	NOTCH2
Q04724	TLE1
Q04771	ACVR1
Q04837	SSBP1
Q04864	REL
Q04917	YWHAH
Q05048	CSTF1
Q05195	MXD1
Q05209	PTPN12
Q05397	PTK2
Q05513	PRKCZ
Q05516	ZBTB16
Q05655	PRKCD
Q05682	CALD1
Q05923	DUSP2
Q06124	PTPN11
Q06187	BTK
Q06210	GFPT1
Q06265	EXOSC9
Q06330	RBPJ
Q06413	MEF2C
Q06481	APLP2
Q06546	GABPA
Q06547	GABPB1
Q06587	RING1
Q06787	FMR1
Q06830	PRDX1
Q06945	SOX4
Q07352	ZFP36L1
Q07666	KHDRBS1
Q07812	BAX
Q07817	BCL2L1
Q07820	MCL1
Q07866	KLC1
Q07869	PPARA
Q07889	SOS1
Q07890	SOS2
Q07912	TNK2
Q07954	LRP1
Q07955	SRSF1
Q07960	ARHGAP1
Q08209	PPP3CA
Q08257	CRYZ
Q08334	IL10RB
Q08378	GOLGA3
Q08379	GOLGA2
Q08499	PDE4D
Q08722	CD47
Q08828	ADCY1
Q08945	SSRP1
Q08999	RBL2
Q09013	DMPK
Q09161	NCBP1
Q09472	EP300
Q0VAM2	RASGEF1B
Q0VDF9	HSPA14
Q10567	AP1B1
Q12770	SCAP
Q12772	SREBF2
Q12778	FOXO1
Q12791	KCNMA1
Q12800	TFCP2
Q12802	AKAP13
Q12824	SMARCB1
Q12857	NFIA
Q12866	MERTK
Q12873	CHD3
Q12882	DPYD
Q12888	TP53BP1
Q12891	HYAL2
Q12904	AIMP1
Q12906	ILF3
Q12913	PTPRJ
Q12931	TRAP1
Q12933	TRAF2
Q12959	DLG1
Q12962	TAF10
Q12967	RALGDS
Q12968	NFATC3
Q12972	PPP1R8
Q12974	PTP4A2
Q12982	BNIP2
Q12983	BNIP3
Q12986	NFX1
Q13009	TIAM1
Q13017	ARHGAP5
Q13042	CDC16
Q13043	STK4
Q13045	FLII
Q13077	TRAF1
Q13085	ACACA
Q13094	LCP2
Q13099	IFT88
Q13105	ZBTB17
Q13114	TRAF3
Q13127	REST
Q13129	RLF
Q13131	PRKAA1
Q13133	NR1H3
Q13144	EIF2B5
Q13145	BAMBI
Q13151	HNRNPA0
Q13153	PAK1
Q13158	FADD
Q13162	PRDX4
Q13163	MAP2K5
Q13177	PAK2
Q13185	CBX3
Q13188	STK3
Q13190	STX5
Q13191	CBLB
Q13216	ERCC8
Q13217	DNAJC3
Q13233	MAP3K1
Q13261	IL15RA
Q13263	TRIM28
Q13275	SEMA3F
Q13277	STX3
Q13287	NMI
Q13303	KCNAB2
Q13309	SKP2
Q13315	ATM
Q13322	GRB10
Q13330	MTA1
Q13332	PTPRS
Q13347	EIF3I
Q13352	ITGB3BP
Q13361	MFAP5
Q13362	PPP2R5C
Q13363	CTBP1
Q13370	PDE3B
Q13371	PDCL
Q13393	PLD1
Q13404	UBE2V1
Q13416	ORC2
Q13418	ILK
Q13422	IKZF1
Q13424	SNTA1
Q13426	XRCC4
Q13438	OS9
Q13443	ADAM9
Q13444	ADAM15
Q13451	FKBP5
Q13464	ROCK1
Q13467	FZD5
Q13469	NFATC2
Q13478	IL18R1
Q13480	GAB1
Q13485	SMAD4
